id_films,names_films,types_film,rating_films,years_films,links_films
3656,"Пять вещей, которые я не понимаю ",драма,0,2018 ,https://baskino.org/films/15726-pjat-veschej-kotorye-ja-ne-ponimaju.html
3657,Чихаяфуру. Финал ,"комедия, мелодрама, спорт",0,2018 ,https://baskino.org/films/15725-chihajafuru-final.html
3658, Холостяк на свадьбе ,комедия,0,2020 ,https://baskino.org/films/4689-holostjak-na-svadbe.html
3659,Прости нам долги наши ,драма,0,2018 ,https://baskino.org/films/15721-prosti-nam-dolgi-nashi.html
3660,Еще один зомби-апокалипсис ,ужасы,0,2018 ,https://baskino.org/films/15720-esche-odin-zombi-apokalipsis.html
3661,Любовь с хвостом ,"мелодрама, фэнтези",0,2018 ,https://baskino.org/films/15717-ljubov-s-hvostom.html
3662,Бамблби ,"боевик, приключения, фантастика",100,2018 ,https://baskino.org/films/15716-bamblbi.html
3663,В объятиях лжи ,"детектив, драма, триллер",30,2018 ,https://baskino.org/films/15715-v-objatijah-lzhi.html
3664,Список Хонор ,драма,0,2018 ,https://baskino.org/films/15714-spisok-honor.html
3665,Аллея кошмаров ,"боевик, детектив, драма, криминал, триллер",40,2021 ,https://baskino.org/films/8742-alleja-koshmarov.html
3666,Близкий враг ,"детектив, триллер, фантастика",0,2018 ,https://baskino.org/films/15704-blizkij-vrag.html
3667,Не в себе ,"детектив, триллер",0,2018 ,https://baskino.org/films/15703-ne-v-sebe.html
3668,Путь к мечте ,боевик,0,2018 ,https://baskino.org/films/15702-put-k-mechte.html
3669,Во всё тяжкое ,"драма, комедия",0,2018 ,https://baskino.org/films/15698-vo-vse-tjazhkoe.html
3670,ЛапПарацци ,семейный,0,2018 ,https://baskino.org/films/15697-lapparacci.html
3671, Спиритический сеанс ,"детектив, ужасы",0,2021 ,https://baskino.org/films/532-spiriticheskij-seans.html
3672,Эзуг Назаре ,драма,0,2018 ,https://baskino.org/films/15692-jezug-nazare.html
3673, Прошлым летом ,"драма, мелодрама",0,2021 ,https://baskino.org/films/3642-proshlym-letom.html
3674,Роман служанки ,"драма, мелодрама",0,2021 ,https://baskino.org/films/8851-roman-sluzhanki.html
3675,Я худею ,комедия,0,2018 ,https://baskino.org/films/15686-ja-hudeju.html
3676,Сяо Мэй ,детектив,0,2018 ,https://baskino.org/films/15679-sjao-mjej.html
3677,Хакер ,триллер,60,2018 ,https://baskino.org/films/15678-haker.html
3678,"День, когда пропали собаки ","драма, короткометражка",0,2018 ,https://baskino.org/films/15675-den-kogda-propali-sobaki.html
3679,Лучшее лето в моей жизни ,"комедия, семейный",0,2018 ,https://baskino.org/films/15671-luchshee-leto-v-moej-zhizni.html
3680,Финансовая пирамида ,"боевик, драма",0,2022 ,https://baskino.org/films/15168-finansovaja-piramida.html
3681,Руководство по выживанию в тюрьме ,документальный,0,2018 ,https://baskino.org/films/15670-rukovodstvo-po-vyzhivaniju-v-tjurme.html
3682,"Винчестер. Дом, который построили призраки ","детектив, ужасы, фэнтези",40,2018 ,https://baskino.org/films/15669-vinchester-dom-kotoryj-postroili-prizraki.html
3683,Странники терпенья ,"драма, триллер",0,2018 ,https://baskino.org/films/15668-stranniki-terpenja.html
3684,Драйв ,"боевик, криминал, триллер",0,2018 ,https://baskino.org/films/15667-drajv.html
3685,На границе миров ,"детектив, криминал, мелодрама, фэнтези",0,2018 ,https://baskino.org/films/15666-na-granice-mirov.html
3686,Потерянная ,драма,0,2018 ,https://baskino.org/films/15665-poterjannaja.html
3687,Колыбельная для солдат ,"военный, драма",0,2018 ,https://baskino.org/films/15662-kolybelnaja-dlja-soldat.html
3688,Одна взаперти ,"детектив, драма, криминал, триллер, ужасы",0,2018 ,https://baskino.org/films/15661-odna-vzaperti.html
3689,Аферисты поневоле ,"комедия, криминал",0,2018 ,https://baskino.org/films/15660-aferisty-ponevole.html
3690,Один король — одна Франция ,"драма, история",0,2018 ,https://baskino.org/films/15659-odin-korol-odna-francija.html
3691,Один день ,драма,0,2018 ,https://baskino.org/films/15657-odin-den.html
3692,Импактное событие ,фантастика,0,2018 ,https://baskino.org/films/15652-impaktnoe-sobytie.html
3693,Жизнь на повторе ,"драма, комедия",0,2018 ,https://baskino.org/films/15651-zhizn-na-povtore.html
