id_meals,meals_names,calories,proteins,fats,carbohydrates
159,"Пудинг, банановый, сухая смесь, быстрого приготовления",367.0,0.0,0.6,92.7
160,"Пудинг, банановый, сухая смесь, быстрого приготовления, с доб масла",386.0,0.0,4.4,89.0
161,"Пудинг, банановый, сухая смесь, обычный",366.0,0.0,0.4,92.7
162,"Пудинг, банановый, сухая смесь, обычный, с доб масла",387.0,0.0,5.0,88.1
163,"Пудинг, ванильный, быстрого приготовления, приготовленный на цельном молоке",114.0,2.7,2.9,19.7
164,"Пудинг, ванильный, готовый к употреблению",130.0,1.45,3.78,22.6
165,"Пудинг, ванильный, готовый к употреблению, обезжиренный",89.0,2.02,0.0,20.16
166,"Пудинг, ванильный, обычный, приготовленный на цельном молоке",113.0,2.8,2.9,18.82
167,"Пудинг, ванильный, сухая смесь, быстрого приготовления",377.0,0.0,0.6,92.9
168,"Пудинг, ванильный, сухая смесь, обычный",379.0,0.3,0.4,92.9
169,"Пудинг, ванильный, сухая смесь, обычный, с доб масла",369.0,0.3,1.1,92.4
170,"Пудинг, все вкусы, исключая шоколадный, низкокалорийный, быстрого приготовления, сухая смесь",350.0,0.81,0.9,83.86
171,"Пудинг, все вкусы, исключая шоколадный, низкокалорийный, обычный, сухая смесь",351.0,1.6,0.1,85.14
172,"Пудинг, из тапиоки, готовый к употреблению",130.0,1.95,3.88,21.69
173,"Пудинг, из тапиоки, готовый к употреблению, обезжиренный",94.0,1.44,0.35,21.31
174,"Пудинг, из тапиоки, сухая смесь",369.0,0.1,0.1,94.1
175,"Пудинг, из тапиоки, сухая смесь, без доб соли",369.0,0.1,0.1,94.1
176,"Пудинг, лимонный обычный, приготовленный с сахаром, яичным желтком и водой",109.0,0.65,1.12,24.2
177,"Пудинг, лимонный, сухая смесь, быстрого приготовления",378.0,0.0,0.7,95.4
178,"Пудинг, лимонный, сухая смесь, быстрого приготовления, приготовленный на цельном молоке",115.0,2.7,2.9,20.1
179,"Пудинг, лимонный, сухая смесь, обычный",363.0,0.1,0.5,91.7
180,"Пудинг, лимонный, сухая смесь, обычный, с доб масла, калия, натрия",366.0,0.1,1.5,90.2
181,"Пудинг, рисовый, готовый к употреблению",108.0,3.23,2.15,18.09
182,"Пудинг, рисовый, приготовленный на цельном молоке",121.0,3.25,2.82,20.58
183,"Пудинг, рисовый, сухая смесь",376.0,2.7,0.1,90.5
184,"Пудинг, с кокосовым кремом, обычный, приготовленный на цельном молоке",114.0,3.0,3.8,17.5
185,"Пудинг, с кокосовым кремом, приготовленный на цельном молоке",117.0,2.9,3.5,19.0
186,"Пудинг, с кокосовым кремом, сухая смесь, быстрого приготовления",415.0,0.9,10.0,79.5
187,"Пудинг, с кокосовым кремом, сухая смесь, обычный",434.0,1.0,11.36,80.24
188,"Пудинг, со вкусом шоколада, низкокалорийный, быстрого приготовления, сухая смесь",356.0,5.3,2.4,72.1
189,"Пудинг, со вкусом шоколада, низкокалорийный, обычный, сухая смесь",365.0,10.08,3.0,64.32
190,"Пудинг, шоколадный, быстрого приготовления, приготовленный на цельном молоке",111.0,3.1,3.1,17.8
191,"Пудинг, шоколадный, готовый к употреблению",142.0,2.09,4.6,23.01
192,"Пудинг, шоколадный, готовый к употреблению, обезжиренный",93.0,1.93,0.3,20.57
193,"Пудинг, шоколадный, приготовленный на цельном молоке",120.0,3.16,3.15,18.84
194,"Пудинг, шоколадный, сухая смесь, быстрого приготовления",378.0,2.3,1.9,84.3
195,"Пудинг, шоколадный, сухая смесь, обычный",362.0,2.6,2.1,84.8
196,Сахар песок,399.0,0.0,0.0,99.8
197,Сахар рафинад,400.0,0.0,0.0,99.9
198,"Сахар, гранулированный",387.0,0.0,0.0,99.98
199,"Сахар, кленовый",354.0,0.1,0.2,90.9
200,"Сахар, коричневый",380.0,0.12,0.0,98.09
201,"Сахар, пудра",389.0,0.0,0.0,99.77
202,Сахарная пудра,399.0,0.0,0.0,99.8
203,"Сироп, гранатовый",268.0,0.0,0.0,66.91
204,"Сироп, диетический",51.0,0.8,0.0,11.29
205,"Сироп, кленовый",260.0,0.04,0.06,67.04
206,"Сироп, кукурузный, с высоким содерж. фруктозы",281.0,0.0,0.0,76.0
207,"Сироп, солодовый",318.0,6.2,0.0,71.3
208,"Сироп, сорго",290.0,0.0,0.0,74.9
209,"Сладости, белый шоколад",539.0,5.87,32.09,59.04
210,"Сладости, сладкий шоколад",507.0,3.9,34.2,54.9
211,Сорбит пищевой,354.0,0.0,0.0,94.5
212,"Топпинг, ананасовый",253.0,0.1,0.1,66.0
213,"Топпинг, клубничный",254.0,0.2,0.1,65.6
214,"Топпинг, орехи в сиропе",448.0,4.5,22.0,55.78
215,Торт бисквитный с орехово-сливочным кремом,356.0,5.6,11.8,58.8
216,Торт бисквитный с фруктовой начинкой,285.0,3.9,2.6,61.3
217,Торт бисквитный с шоколадным кремом,335.0,4.4,12.4,53.6
218,Торт миндальный,468.0,7.8,28.7,44.6
219,Торт слоеный,542.0,8.5,37.7,42.2
220,Фосфатидный концентрат соевый,843.0,0.0,93.7,0.0
221,Халва без добавок,469.0,12.49,21.52,55.99
222,Халва подсолнечная ванильная,516.2,11.6,29.7,54.0
223,Халва тахинная,509.6,12.7,29.9,50.6
224,Халва тахинная шоколадная,498.0,12.8,28.1,48.4
225,Халва тахинно-арахисовая,502.0,12.7,29.2,47.0
226,Цукаты морковные,300.0,2.9,0.2,70.5
227,Шикозин,897.0,0.2,99.6,0.0
228,Шоколад в порошке,482.5,5.2,24.3,64.8
229,Шоколад горький,539.0,6.2,35.4,48.2
230,Шоколад молочно-ореховый,542.0,7.5,33.9,51.3
231,Шоколад молочно-ореховый с изюмом,500.0,8.0,30.3,48.2
232,Шоколад молочный,554.0,9.8,34.7,50.4
233,Шоколад ореховый,534.0,7.3,33.8,49.7
234,Шоколад полугорький,549.0,4.5,35.4,52.5
235,Шоколад пористый молочный,545.8,6.9,35.5,53.0
236,Шоколад сладкий,550.0,3.0,34.0,57.6
237,Шоколад сливочный,560.0,6.3,35.5,53.7
238,"Шоколад, для выпечки, MASTERFOODS USA, M&M's Milk Chocolate Mini Baking Bits",502.0,4.78,23.36,65.7
239,"Шоколад, для выпечки, MASTERFOODS USA, M&M's Semisweet Chocolate Mini Baking Bits (полусладкий)",517.0,4.44,26.15,59.26
240,"Шоколад, для выпечки, мексиканский, квадратики",426.0,3.64,15.59,73.41
241,"Шоколад, для выпечки, неподслащенный, жидкий",472.0,12.1,47.7,18.1
242,"Шоколад, для выпечки, неподслащенный, квадратики",642.0,14.32,52.31,11.82
243,Шоколадная паста,536.0,8.2,30.6,56.6
244,"Щербет, апельсиновый",144.0,1.1,2.0,29.1
245,"Эклер с заварным или сливочным кремом, охлажденный",334.0,4.41,18.52,36.53
246,"Эклер со сливочным кремом, приготовленный по рецепту",360.0,9.0,25.9,22.0
247,"Oscar Mayer (Оскар Майер), ветчина, медовая, с добавлением воды",111.0,16.7,3.5,3.1
248,"Боквурст, (кнакер, варёно-копчёная сарделька), свинина, телятина, сырая",301.0,14.03,25.87,1.95
249,"Болонская колбаса, говядина",299.0,10.91,26.13,4.29
250,"Болонская колбаса, говядина и свинина",308.0,15.2,24.59,5.49
251,"Болонская колбаса, говядина и свинина, с низким содерж. жира, 19% жира",230.0,11.5,19.3,2.6
252,"Болонская колбаса, говядина, с низким содерж. жира, 15% жира",204.0,11.8,14.8,5.2
253,"Болонская колбаса, индейка",209.0,11.42,16.05,4.18
254,"Болонская колбаса, курица, индейка, свинина",298.0,9.88,26.18,5.65
255,"Болонская колбаса, курица, свинина",336.0,10.31,30.61,4.19
256,"Болонская колбаса, курица, свинина, говядина",272.0,11.33,22.73,5.61
257,"Болонская колбаса, свинина",247.0,15.3,19.87,0.73
258,"Болонская колбаса, свинина и индейка, легкая, 16% жира",211.0,13.06,16.06,3.45
259,"Болонская колбаса, свинина, индейка, говядина",336.0,11.56,29.25,6.66
260,"Братвурст, сарделька, из говядины и свинины",323.0,14.3,27.8,2.98
261,"Братвурст, сарделька, из говядины и свинины, копченая",297.0,12.2,26.34,2.0
262,"Братвурст, сарделька, из курицы, приготовленная",176.0,19.44,10.35,0.0
263,"Братвурст, сарделька, из свинины, говядины и индейки, легкая, копченая (14% жира)",186.0,14.45,13.53,1.62
264,"Братвурст, сарделька, из свинины, приготовленная",333.0,13.72,29.18,2.85
265,"Братвурст, сарделька, из телятины, приготовленная",341.0,13.99,31.7,0.0
266,Ветчина в форме,279.0,22.6,20.9,0.0
267,Ветчина особая,126.0,17.6,6.2,0.0
268,"Ветчина, медовая, копчено-вареная",122.0,17.93,2.37,7.27
269,"Ветчина, нарезанная ломтиками, сверх постная",107.0,16.85,4.04,0.7
270,"Ветчина, рубленая",263.0,16.28,20.68,1.84
271,"Ветчина, рубленная, консервированная",239.0,16.06,18.83,0.26
272,"Ветчина, рубленная, неконсервированная",221.0,16.5,16.7,0.0
273,"Говядина, солонина, буханка, заливное",153.0,22.9,6.1,0.0
274,"Говядина, солонина, колбаска, приготовленная, копченая",312.0,14.11,26.91,2.42
275,"Говядина, солонина, консервированная",250.0,27.1,14.93,0.0
276,"Говядина, солонина, копченая, нарубленная",133.0,20.19,4.42,1.86
277,"Говядина, солонина, мясо для ланча, заливное",111.0,19.0,3.3,0.0
278,"Говядина, солонина, Пастрома",147.0,21.8,5.82,0.36
279,"Говядина, солонина, сушеная",153.0,31.1,1.94,2.76
280,"Говядина, сосиски, заранее приготовленные",405.0,15.5,37.57,0.03
